0	C
1	E
2	A.
3	B
4	B
5	A.
6	H
7	B
8	C
9	A.
10	A
11	C
12	A
13	B
14	A.
15	E
16	E
17	A.
18	B
19	A.
20	D
21	A.
22	E
23	B
24	C
25	D
26	D
27	B
28	D
29	D
30	C
31	A.
32	B
33	B
34	C
35	B
36	D
37	A.
38	C
39	A
40	A.
41	B
42	C.
43	A
44	H.
45	B
46	C
47	A.
48	A
49	B
50	A
51	A
52	A.
53	E
54	E
55	A
56	B
57	A.
58	C
59	B.
60	C
61	B
62	C
63	E
64	B
65	B
66	D
67	A.
68	B
69	B
70	D
71	C
72	A.
73	E
74	B
75	C
76	A
77	B
78	B
79	C
80	A
81	E
82	B
83	A
84	A
85	A
86	E
87	B
88	A.
89	B.
90	B.
91	E
92	B
93	D
94	B
95	D
96	B
97	D
98	C
99	B.
100	E
101	E
102	A
103	F
104	C
105	C
106	H
107	B
108	C
109	A.
110	A
111	C.
112	A
113	A
114	A.
115	E
116	A
117	B
118	B
119	C
120	E
121	D
122	B
123	D
124	C
125	H
126	A.
127	A.
128	B
129	C
130	A.
131	B
132	B
133	B
134	A.
135	A
136	B
137	A.
138	A.
139	A.
140	E
141	A
142	E
143	C
144	B
145	B
146	D
147	C
148	C.
149	A
150	A.
151	F
152	C.
153	A.
154	A
155	B
156	A
157	B
158	A
159	A.
160	A
161	D
162	D
163	A
164	C
165	A
166	A.
167	B
168	A
169	A
170	B
171	B
172	A
173	B
174	A
175	A
176	A.
177	C
178	C
179	A
180	A.
181	B
182	C
183	C
184	B
185	B
186	A
187	B
188	A
189	A
190	B
191	C
192	A.
193	A.
194	A
195	C
196	C
197	B
198	A
199	B
200	A.
201	A.
202	C
203	B
204	A.
205	A
206	A.
207	A.
208	A
209	B
210	A
211	B
212	A.
213	C
214	A
215	A
216	E
217	A.
218	A
219	B
220	B
221	A
222	H
223	A
224	C
225	A
226	C
227	B
228	A
229	A
230	B
231	A
232	C
233	A.
234	A.
235	B
236	A
237	B
238	A
239	C
240	C
241	B
242	A
243	C
244	C
245	A
246	A.
247	B
248	A
249	H
250	A
251	C.
252	A
253	B
254	E
255	H
256	C
257	A.
258	B
259	A
260	E
261	B
262	A.
263	B
264	A
265	E
266	A.
267	B
268	B
269	A
270	C
271	A.
272	C
273	B
274	A
275	C.
276	A
277	A.
278	B
279	A
280	F
281	A.
282	C.
283	B
284	A
285	E
286	A.
287	C.
288	A
289	C
290	A.
291	A
292	A
293	E
294	A
295	A
296	E
297	H
298	A.
299	A
300	H
301	A
302	D
303	A
304	C
305	A
306	E
307	A
308	E
309	A
310	C
311	A
312	E
313	A.
314	C
315	A
316	A
317	A
318	C
319	A
320	E
321	A.
322	C
323	A
324	E
325	A
326	F
327	B
328	D
329	E
330	A
331	E
332	A
333	B
334	D
335	C
336	H.
337	C.
338	C
339	C
340	E
341	D
342	D
343	E
344	C.
345	C.
346	E
347	H
348	A.
349	E
350	H
351	C
352	C
353	E
354	H
355	E
356	H
357	C
358	H
359	E
360	H.
361	H
362	H
363	E
364	D
365	B
366	E
367	A.
368	C.
369	C
370	E
371	H
372	E
373	A
374	B
375	C
376	E
377	H
378	A.
379	B
380	B
381	C
382	E
383	H
384	H
385	B
386	F
387	E
388	A
389	D
390	E
391	A.
392	C
393	C
394	H
395	D
396	E
397	A.
398	B
399	H
400	H
401	D
402	E
403	C
404	B
405	C
406	C
407	C
408	A
409	E
410	B
411	E
412	E
413	A
414	C.
415	H
416	A
417	D
418	E
419	A.
420	C
421	E
422	H
423	D
424	E
425	H
426	C
427	H
428	B
429	B
430	A
431	C.
432	C
433	B
434	C
435	E
436	H
437	B
438	H
439	C
440	D
441	D
442	D
443	B
444	H
445	D
446	B
447	E
448	C
449	B.
450	C.
451	H
452	C
453	A
454	A
455	A
456	C
457	E
458	C
459	H
460	D
461	D
462	C
463	C.
464	A
465	H
466	C.
467	C
468	C
469	E
470	E
471	B
472	C.
473	C
474	B
475	B.
476	A
477	A.
478	B
479	C
480	H
481	D
482	C
483	E
484	D
485	D
486	A
487	E
488	C
489	C
490	I.
491	C
492	C
493	A.
494	C
495	F
496	B
497	E
498	E
499	E
500	D
501	C
502	B
503	D
504	E
505	E
506	C
507	C
508	C
509	C.
510	E
511	A
512	H
513	E
514	E
515	H
516	E
517	D
518	C
519	C
520	C
521	A.
522	C.
523	H
524	H
525	E
526	A.
527	D
528	E
529	A.
